student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,caffeine_intake,sleep_quality,diet_score,internet_score,part_job_score,stress_proxy,focus_proxy
S1021,21.0,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1.0,High School,Good,3.0,No,82.5,3.7,3.2,0,1,0,4.862533607311518,6.304900358736989
S1022,18.0,Other,4.9,2.3,0.6,No,84.5,6.0,Fair,3.0,High School,Average,7.0,No,98.7,3.6,4.2,0,0,0,4.363614814057308,6.849370139544555
S1023,24.0,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair,6.0,Bachelor,Good,1.0,No,43.7,2.5,7.8,0,1,1,3.69780660608189,8.39109428956432
S1024,20.0,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair,4.0,Bachelor,Average,2.0,No,54.9,2.9,4.8,0,0,1,4.826099070317176,6.102099492284259
S1025,22.0,Male,4.9,4.3,3.3,No,74.7,9.0,Fair,1.0,High School,Average,2.0,Yes,69.9,4.2,4.3,0,0,0,6.363504475760153,6.101052879211181
S1026,22.0,Male,2.0,0.8,0.5,No,83.8,6.5,Good,4.0,Bachelor,Poor,4.0,No,73.5,1.0,5.2,1,-1,0,3.7726165590175107,6.6892049169318515
S1027,18.0,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5.0,Bachelor,Average,3.0,No,71.1,5.3,3.0,0,0,1,5.858515403707571,4.511030627575864
S1028,24.0,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good,5.0,High School,Poor,3.0,Yes,82.8,4.3,5.6,1,-1,1,5.106564018756981,7.050501705982398
S1029,20.0,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor,6.0,High School,Poor,10.0,Yes,75.7,4.4,4.2,-1,-1,1,5.230121956994032,6.184512586312304
S1030,21.0,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2.0,Master,Average,5.0,No,70.6,1.9,4.6,0,0,0,4.248042659280967,6.997072673625446
S1031,17.0,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair,4.0,Bachelor,Average,3.0,Yes,51.3,5.4,2.8,0,0,1,6.2118198281126835,5.102709734298515
S1032,20.0,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3.0,Bachelor,Good,7.0,No,52.1,4.0,5.7,1,1,0,3.6640563318577786,7.231695037359365
S1033,18.0,Female,4.0,0.9,1.1,No,99.5,5.8,Poor,2.0,,Average,5.0,No,70.7,2.1,3.9,-1,0,0,5.286322742831231,5.637886890769429
S1034,22.0,Female,1.1,2.7,0.1,No,100.0,7.7,Fair,1.0,High School,Good,4.0,No,51.2,2.4,4.1,0,1,0,4.233627049167803,6.999101837622565
S1035,21.0,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good,1.0,Bachelor,Average,3.0,No,72.6,3.4,4.9,1,0,1,4.6058035835802285,6.227944064798822
S1036,20.0,Female,3.5,3.0,2.6,No,74.9,7.3,Fair,3.0,High School,Good,4.0,No,70.7,3.5,3.6,0,1,0,4.212615429110485,6.681191286936845
S1037,17.0,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good,0.0,High School,Average,2.0,No,59.4,3.6,1.0,1,0,1,6.502128774318129,4.501191985244537
S1038,17.0,Male,3.8,1.7,1.4,No,70.3,7.0,Poor,0.0,Bachelor,Good,1.0,No,58.1,1.8,3.1,-1,1,0,5.479177542242827,5.502432479794734
S1039,19.0,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1.0,High School,Average,3.0,No,82.3,4.6,3.7,1,0,0,5.073723345131411,5.480861781799687
S1040,19.0,Female,3.7,4.7,2.0,No,98.8,8.5,Good,6.0,Bachelor,Good,2.0,No,69.7,4.2,7.3,1,1,0,3.3078657389826858,8.917501019731066
S1041,23.0,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6.0,Bachelor,Average,1.0,No,66.0,3.0,4.8,1,0,0,4.044163488084297,7.251493665244217
S1042,18.0,Male,3.7,3.4,2.0,No,88.9,6.8,Fair,3.0,High School,Poor,1.0,Yes,63.5,3.4,4.0,0,-1,0,5.485584336546049,5.91467780793819
S1043,24.0,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0.0,Bachelor,Good,2.0,No,65.7,3.0,2.8,-1,1,0,5.823800331870343,5.509857102396012
S1044,20.0,Female,3.6,1.4,0.8,No,73.0,5.3,Good,4.0,High School,Poor,9.0,No,78.5,1.8,5.2,1,-1,0,3.4749064284794704,6.615187995674967
S1045,20.0,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1.0,Bachelor,Average,5.0,Yes,75.1,2.3,5.5,0,0,0,4.240565475477929,7.2972445723253925
S1046,24.0,Male,2.4,4.3,1.0,No,87.9,8.9,Poor,5.0,High School,Average,9.0,Yes,71.0,2.3,7.1,-1,0,0,3.9287807515296227,8.422826338170891
S1047,23.0,Female,2.5,2.9,2.7,No,83.5,7.0,Good,4.0,,Good,8.0,Yes,59.7,3.9,4.7,1,1,0,3.2278900800301833,7.594230962869563
S1048,22.0,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3.0,Bachelor,Good,6.0,No,52.6,2.3,7.1,0,1,0,3.535102917509199,8.118189712300543
S1049,22.0,Female,6.1,2.5,2.3,No,100.0,5.8,Poor,5.0,High School,Average,1.0,No,96.5,3.1,4.3,-1,0,0,5.522289395465686,6.287243892125736
S1050,23.0,Female,1.6,1.0,3.1,No,82.8,5.5,Fair,4.0,Master,Good,10.0,Yes,62.0,2.7,4.9,0,1,0,2.9972729202542543,7.438023936053381
S1051,22.0,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0.0,High School,Average,5.0,No,59.7,2.5,3.3,-1,0,0,5.7237862347066315,5.583118976699499
S1052,19.0,Female,2.4,3.6,3.6,No,86.9,7.0,Fair,6.0,High School,Average,1.0,No,48.4,2.8,5.0,0,0,0,4.7293636428904895,6.882215005117688
S1053,20.0,Female,4.8,2.0,3.5,No,100.0,6.0,Good,0.0,Bachelor,Good,7.0,Yes,70.6,4.5,4.1,1,1,0,4.3337335933407255,6.850979698037779
S1054,23.0,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5.0,High School,Good,10.0,No,68.1,5.2,5.3,0,1,1,3.967632556108996,6.577125296245893
S1055,20.0,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2.0,High School,Good,8.0,No,87.2,5.1,4.4,1,1,0,3.758045457602197,6.78878647615722
S1056,24.0,Male,2.5,2.0,0.0,No,83.9,5.3,Good,6.0,Bachelor,Average,8.0,No,66.7,1.9,6.0,1,0,0,2.570556774565656,7.742705349075012
S1057,17.0,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1.0,Bachelor,Average,7.0,Yes,75.2,2.9,5.8,1,0,0,3.7115211579878027,7.333990602658493
S1058,19.0,Female,2.2,5.0,1.0,No,78.4,7.5,Poor,5.0,Master,Average,2.0,Yes,46.4,3.3,4.6,-1,0,0,5.301751125905645,6.255047047996754
S1059,21.0,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3.0,Master,Average,5.0,Yes,97.1,5.3,3.9,1,0,0,4.620597132339642,5.930029665062408
S1060,19.0,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1.0,High School,Average,4.0,No,61.2,3.0,4.8,0,0,1,5.281818789189114,6.8640023747115535
S1061,23.0,Male,4.0,1.7,2.6,No,100.0,5.0,Fair,4.0,Bachelor,Good,5.0,No,75.0,3.5,1.7,0,1,0,4.632754623819884,6.26846957845974
S1062,21.0,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6.0,High School,Good,10.0,No,94.7,4.7,7.7,1,1,1,2.9402616929995236,8.078490607495278
S1063,17.0,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3.0,Bachelor,Average,9.0,No,77.6,4.4,2.5,0,0,1,5.427481532351482,4.86530204864623
S1064,23.0,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3.0,High School,Poor,4.0,Yes,68.6,3.8,3.1,1,-1,0,4.8140865532576225,5.71221891785084
S1065,18.0,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0.0,Master,Good,8.0,No,69.6,4.6,2.0,-1,1,0,5.80071642864286,5.1220550767069035
S1066,20.0,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4.0,Bachelor,Average,8.0,No,66.5,3.7,3.8,1,0,0,3.822554391258561,6.294619167223919
S1067,17.0,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0.0,Master,Good,2.0,No,62.2,4.1,2.8,-1,1,0,5.904483879318029,5.229476024217538
S1068,20.0,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0.0,Bachelor,Poor,6.0,No,82.1,5.1,2.6,1,-1,1,5.794987552423024,5.04523772664596
S1069,22.0,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6.0,Master,Average,5.0,No,100.0,4.2,5.1,-1,0,0,4.821494618407967,6.847522263794763
S1070,18.0,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2.0,Bachelor,Good,2.0,Yes,59.7,2.9,2.9,-1,1,0,5.3944943078675065,6.407805138413701
S1071,18.0,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0.0,High School,Poor,10.0,Yes,55.1,3.9,3.2,0,-1,0,5.134083289272738,5.3273415601731156
S1072,17.0,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1.0,High School,Average,4.0,Yes,77.1,1.9,4.5,0,0,0,4.069380078431614,6.224574599829715
S1073,18.0,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3.0,High School,Average,7.0,Yes,97.7,7.0,1.9,0,0,0,6.949742892104749,3.1881670978524905
S1074,21.0,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6.0,,Good,1.0,No,66.9,1.0,6.3,0,1,0,3.2540068954462784,7.629130647251735
S1075,18.0,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0.0,Bachelor,Good,9.0,Yes,99.9,6.6,3.2,0,1,1,6.27107365865728,4.646722994897453
S1076,20.0,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5.0,Bachelor,Average,10.0,Yes,100.0,4.5,3.8,-1,0,0,4.912684508912173,5.951991902054529
S1077,20.0,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1.0,Bachelor,Poor,1.0,No,57.2,1.8,3.2,0,-1,0,5.755186864487906,5.948334162961212
S1078,23.0,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4.0,Master,Good,5.0,No,77.3,4.9,6.3,1,1,1,3.342747595950237,7.050363557172214
S1079,20.0,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3.0,Master,Average,7.0,No,91.6,4.7,4.8,1,0,1,5.071537204027445,6.001009188369597
S1080,23.0,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6.0,High School,Good,8.0,No,70.7,2.3,7.8,1,1,0,2.0237035127483924,9.400898757613131
S1081,20.0,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5.0,High School,Poor,2.0,No,57.6,4.2,3.9,1,-1,0,5.300889332381409,6.164080124219009
S1082,21.0,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6.0,High School,Poor,4.0,No,60.2,5.9,3.4,0,-1,1,6.5367068117991955,4.588174363315078
S1083,24.0,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6.0,High School,Good,2.0,Yes,50.5,1.6,7.0,-1,1,0,3.42736432470485,7.671904704612022
S1084,23.0,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5.0,Bachelor,Average,4.0,No,51.3,2.6,5.2,0,0,0,4.332360974511649,7.065155507596389
S1085,19.0,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4.0,Bachelor,Good,6.0,No,53.5,2.2,6.4,1,1,0,2.8137036160366007,7.787751122395529
S1086,22.0,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5.0,Bachelor,Poor,6.0,No,79.2,3.2,7.5,1,-1,0,3.4685672951837696,9.076254280171673
S1087,17.0,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1.0,Master,Average,2.0,Yes,47.2,2.4,3.3,0,0,0,5.140608741629924,5.706416558134286
S1088,20.0,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6.0,Bachelor,Good,4.0,No,73.4,3.0,4.3,-1,1,0,4.291215439743204,6.901832531707674
S1089,18.0,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4.0,High School,Average,4.0,Yes,41.1,2.7,3.8,-1,0,0,4.9395253780438555,6.202445860490794
S1090,24.0,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6.0,Bachelor,Good,1.0,No,77.8,3.3,5.2,0,1,0,3.9960787357514858,7.226430381972118
S1091,20.0,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5.0,High School,Average,2.0,No,63.4,5.5,2.6,0,0,0,5.8071386863638015,4.375512002351658
S1092,18.0,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4.0,High School,Good,3.0,No,43.9,3.1,3.3,-1,1,1,5.416437821846685,5.36353116024522
S1093,22.0,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4.0,,Good,5.0,No,70.2,3.6,4.9,1,1,0,2.9643744484172405,7.142057799674741
S1094,22.0,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0.0,High School,Average,8.0,No,81.3,3.6,3.3,0,0,0,4.757344459915126,5.562670020425428
S1095,22.0,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0.0,High School,Good,6.0,No,50.2,1.6,4.5,1,1,0,4.133102168907174,6.831666245592816
S1096,18.0,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0.0,High School,Good,3.0,No,87.9,4.5,3.7,1,1,0,4.606073938333441,6.340087388923935
S1097,20.0,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5.0,Bachelor,Average,6.0,No,80.9,3.6,3.2,1,0,0,4.010449536764228,6.604021358673747
S1098,22.0,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3.0,Bachelor,Good,7.0,Yes,63.9,2.6,5.4,1,1,0,2.9173499848835833,7.679597717479194
S1099,21.0,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1.0,High School,Good,6.0,No,65.6,3.3,4.9,1,1,0,3.8917701141475423,7.348522014627472
S1100,23.0,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5.0,,Average,10.0,Yes,93.2,2.3,7.9,1,0,0,2.4083516209774096,8.894987987359157
S1101,18.0,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6.0,Bachelor,Average,6.0,No,74.0,3.5,2.4,1,0,0,4.48376453212596,6.133755453462662
S1102,18.0,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0.0,,Average,1.0,No,60.8,3.3,4.6,0,0,0,5.5494348405559695,6.52426751933803
S1103,20.0,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4.0,Master,Average,3.0,No,50.4,1.7,5.4,1,0,0,3.4308645713227284,7.2905107764235
S1104,18.0,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5.0,Bachelor,Good,7.0,No,74.3,3.4,7.4,1,1,0,2.3315407541430133,9.123861085114438
S1105,18.0,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4.0,High School,Average,4.0,Yes,32.8,4.7,4.2,1,0,1,5.125510521603039,6.0381858756512266
S1106,22.0,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6.0,High School,Good,4.0,Yes,82.3,3.3,7.5,1,1,0,2.4072438850460642,9.5592332642838
S1107,20.0,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4.0,,Average,7.0,No,60.4,2.9,3.9,0,0,0,4.3317360325373055,6.108167268596388
S1108,22.0,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4.0,High School,Average,9.0,Yes,60.0,2.8,4.5,-1,0,0,4.693816634609977,6.826679987140993
S1109,23.0,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2.0,High School,Good,2.0,No,77.5,4.1,4.6,0,1,0,4.611695002739828,6.5276347728912025
S1110,24.0,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3.0,Bachelor,Average,9.0,Yes,86.5,2.4,5.1,0,0,0,4.170658923254629,6.8436244409077
S1111,23.0,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1.0,High School,Average,3.0,No,76.9,2.8,4.9,1,0,0,4.23116916094392,7.197770950934387
S1112,24.0,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1.0,Bachelor,Poor,6.0,Yes,43.9,2.9,3.5,0,-1,0,5.337395772409704,5.337015889885928
S1113,22.0,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0.0,Bachelor,Average,4.0,No,51.3,5.3,2.3,0,0,0,5.768302984922292,4.2604344102989895
S1114,23.0,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2.0,High School,Average,1.0,No,83.3,2.8,4.2,0,0,0,4.965979545393292,6.760804431719091
S1115,20.0,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5.0,,Good,9.0,No,82.7,3.2,6.3,-1,1,0,3.2597744770357306,8.160778792592025
S1116,17.0,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5.0,,Average,6.0,Yes,94.8,5.2,6.6,1,0,0,3.757912894162776,7.264235816552861
S1117,22.0,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1.0,,Good,8.0,No,80.8,1.9,5.8,1,1,0,2.8716205248912514,7.635702884439578
S1118,24.0,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3.0,Bachelor,Good,2.0,Yes,58.3,4.4,3.4,-1,1,0,5.492957654041436,5.763341357605243
S1119,21.0,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4.0,High School,Average,7.0,No,66.3,5.1,6.1,0,0,1,4.580125781219449,6.590954307929973
S1120,24.0,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6.0,Bachelor,Average,6.0,No,87.9,3.1,6.3,0,0,0,3.1182420430850954,8.155635294445053
S1121,21.0,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0.0,High School,Good,2.0,No,60.5,1.9,4.4,-1,1,0,5.095703119104448,6.487161268526307
S1122,18.0,Male,4.6,3.9,0.0,No,83.6,9.7,Poor,3.0,High School,Good,2.0,No,84.8,4.2,5.2,-1,1,0,4.604773496170846,7.389160702347078
S1123,23.0,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1.0,Bachelor,Average,4.0,No,77.0,2.3,3.6,1,0,0,4.879198155653191,6.5928358536541
S1124,21.0,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2.0,Bachelor,Average,4.0,No,61.7,2.7,5.2,0,0,0,3.8381541003290445,6.46232492229425
S1125,24.0,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0.0,High School,Average,3.0,No,44.0,4.5,2.0,0,0,0,5.691037475645867,5.091304293023219
S1126,18.0,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1.0,High School,Poor,8.0,No,42.4,3.1,3.5,-1,-1,1,6.425199806499385,5.407208511043418
S1127,17.0,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5.0,Bachelor,Good,7.0,No,88.0,2.4,7.1,1,1,0,2.6884039455903004,9.455299660391422
S1128,20.0,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0.0,High School,Good,2.0,No,48.7,2.2,3.8,1,1,0,4.189064700099135,6.865634364888392
S1129,20.0,Male,0.3,4.2,1.5,No,83.0,6.2,Good,1.0,High School,Average,3.0,Yes,26.8,2.0,4.2,1,0,0,4.885018777653845,6.335754594867837
S1130,20.0,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5.0,Bachelor,Good,10.0,No,81.6,3.4,5.3,-1,1,0,4.337862768609883,7.051852052205592
S1131,21.0,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6.0,High School,Good,9.0,No,100.0,4.5,7.3,1,1,0,1.7947194760861296,8.917480289930705
S1132,17.0,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5.0,Bachelor,Average,5.0,Yes,74.0,4.0,6.3,0,0,1,4.768560253709438,7.504118164474661
S1133,21.0,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4.0,Bachelor,Poor,2.0,Yes,78.4,4.0,3.4,0,-1,0,5.385512552700353,5.783522970867115
S1134,23.0,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2.0,Bachelor,Good,3.0,No,70.7,1.8,4.4,0,1,0,3.876516525132542,6.643570167729658
S1135,21.0,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4.0,Bachelor,Good,8.0,No,74.3,4.7,4.8,0,1,0,3.090352133053597,6.603306046920186
S1136,17.0,Female,4.9,3.0,3.6,No,91.1,6.7,Good,1.0,Bachelor,Good,4.0,No,67.6,3.6,5.1,1,1,0,3.9471104906054144,7.24503539815751
S1137,17.0,Male,3.1,4.2,0.8,No,69.4,7.0,Good,6.0,Bachelor,Poor,2.0,No,64.7,3.0,4.0,1,-1,0,4.794486822283655,6.6466585731906465
S1138,23.0,Male,3.9,3.3,0.5,No,87.0,8.5,Fair,3.0,Master,Average,2.0,No,64.1,3.6,4.9,0,0,0,4.833712788554557,7.260002473173893
S1139,17.0,Male,4.0,0.7,3.1,No,86.0,5.6,Good,6.0,High School,Poor,6.0,No,83.5,2.3,5.9,1,-1,0,3.6988005117790026,7.098300207560046
S1140,24.0,Male,2.5,3.8,2.2,No,85.4,5.0,Good,6.0,High School,Good,8.0,No,63.4,3.8,5.3,1,1,0,2.611570732049886,7.324136962205624
S1141,17.0,Male,5.0,1.3,0.8,No,95.4,5.4,Good,6.0,Bachelor,Good,7.0,No,96.2,4.5,6.4,1,1,0,2.084980833146463,8.306874578974623
S1142,20.0,Male,3.2,2.0,2.0,No,88.3,4.9,Fair,4.0,Bachelor,Poor,4.0,Yes,65.4,2.0,3.4,0,-1,0,5.094712184638636,5.406937304698181
S1143,24.0,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3.0,,Good,2.0,No,62.0,2.5,5.0,0,1,0,4.29654585588622,7.503921900104529
S1144,24.0,Male,4.3,4.9,3.0,No,75.1,8.4,Fair,5.0,Master,Good,9.0,Yes,74.0,4.3,6.4,0,1,0,3.5232310198978194,8.053134083102172
S1145,23.0,Female,2.2,6.2,3.0,No,86.4,6.9,Good,1.0,,Good,4.0,No,46.7,4.6,4.0,1,1,0,4.338293434793741,6.265649886339348
S1146,19.0,Female,3.5,3.2,2.4,No,85.8,8.0,Poor,2.0,Bachelor,Good,9.0,No,75.5,2.3,4.6,-1,1,0,4.488141014983115,7.111940994713367
S1147,19.0,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3.0,Bachelor,Poor,5.0,Yes,78.1,2.1,3.2,0,-1,0,5.256667532482438,5.595589107780882
S1148,17.0,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1.0,Master,Good,7.0,No,85.2,4.8,5.0,0,1,0,4.4842658862327625,6.864026952678273
S1149,24.0,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair,3.0,,Poor,5.0,No,75.4,5.6,2.3,0,-1,1,7.208525689548194,4.308495487889106
S1150,19.0,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4.0,Bachelor,Average,2.0,No,64.2,4.6,3.0,1,0,1,4.595863871538939,5.688399969984777
S1151,19.0,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1.0,High School,Good,6.0,No,69.7,5.1,1.3,1,1,0,5.569325460938213,5.296745948318104
S1152,17.0,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4.0,High School,Good,7.0,No,90.3,4.0,5.1,1,1,0,3.7465971988250883,7.4074016595480945
